,index,job_title,company_name,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Stata,Machine Learning,Data Mining/Analytics,NLP,Visualisation,Big Data,AWS Cloud,Probability,Support Vector Machines,Neural Networks,GCP,Jason,xml,Azure,Google Cloud,Mathematics,IBM,Algebra,Statistics,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,Team building,project_management,leadership,consulting
1318,https://ca.linkedin.com/jobs/view/data-scientist-vc-backed-fast-growing-saas-company-anywhere-remote-at-process-street-1772874396?refId=0b6ae6b6-ac58-4db8-9a64-3f53627a7e9e&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist | VC-backed | Fast Growing SaaS Company (Anywhere/Remote),Process Street,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1319,https://ca.linkedin.com/jobs/view/chief-data-scientist-at-quotacom-1749940894?refId=0b6ae6b6-ac58-4db8-9a64-3f53627a7e9e&position=25&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Chief Data Scientist,Quotacom,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,https://ca.linkedin.com/jobs/view/data-scientist-health-wellness-at-loblaw-companies-limited-1649342925?refId=4bcca9ce-8940-4c95-8c31-4f3a2c8f1ff5&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist- Health & Wellness,Loblaw Companies Limited,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1321,https://ca.linkedin.com/jobs/view/data-scientist-at-mobsquad-1784789320?refId=4bcca9ce-8940-4c95-8c31-4f3a2c8f1ff5&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Not found,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1322,https://ca.linkedin.com/jobs/view/principal-data-scientist-at-blackberry-1691896252?refId=4bcca9ce-8940-4c95-8c31-4f3a2c8f1ff5&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Principal Data Scientist,BlackBerry,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
1323,https://ca.linkedin.com/jobs/view/data-scientist-at-itiq-strategy-branding-planning-doing-1796697023?refId=4bcca9ce-8940-4c95-8c31-4f3a2c8f1ff5&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,"ITIQ Strategy, Branding, Planning & Doing",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
1324,https://ca.linkedin.com/jobs/view/data-scientist-ai-at-ubisoft-1782624449?refId=4bcca9ce-8940-4c95-8c31-4f3a2c8f1ff5&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Not found,Not found,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1325,https://ca.linkedin.com/jobs/view/data-scientist-at-rbc-1768653184?refId=4bcca9ce-8940-4c95-8c31-4f3a2c8f1ff5&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,RBC,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
1326,https://ca.linkedin.com/jobs/view/data-scientist-at-dfuse-1795246920?refId=4bcca9ce-8940-4c95-8c31-4f3a2c8f1ff5&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Not found,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1327,https://ca.linkedin.com/jobs/view/senior-data-scientist-at-sgs-an-sgsco-company-1643096531?refId=4bcca9ce-8940-4c95-8c31-4f3a2c8f1ff5&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Not found,Not found,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
